,Title,Name,content
0,ABATTEMENT DE LA TAXE D'HABITATION,Jean Louis MASSON,
1,abrogation de dispositions du code de la nationalite,Jacques HABERT,
2,ABROGEANT LA LOI SUR L'INVESTISSEMENT LOCATIF,Jean-Claude GAYSSOT,
3,ACCES A LA FONCTION PUBLIQUE,Pierre MAUGER,
4,,Jean KIFFER,
5,acces au fichier des services de l'Etat,François ASENSI,
6,acces aux soins de sante,Adrien ZELLER,
7,acces du territoire francais aux anciens nazis,Jean-Pierre BRARD,
8,accessibilite des locaux aux personnes handicapees,"Robert Laucournet, Charles Metzinger","Projet de loi portant diverses mesures destinees a favoriser l'accessibilite aux personnes handicapees des locaux d'habitation, des lieux de travail et des installations recevant du publicProjet de loi  portant diverses mesures destinees a favoriser l'accessibilite aux personnes handicapees des locaux d'habitation, des lieux de travail et des installations recevant du public, n° 2063, déposé le  24 mai 1991<br> et renvoyé à <a href=""/commissions/59045_tab.asp"
9,ACCESSION A LA PROPRIETE DES RECEVEURS DES P ET T,Jean-Luc BÉCART,
10,accidents de la circulation,Patrick BALKANY,
11,accord anti-pollution de l'Atlantique Nord-Est,"René André, Bernard Guyomard",Projet de loi autorisant l'approbation d'un accord de cooperation pour la protection des cotes et des eaux de l'Atlantique du Nord-Est contre la pollution (ensemble deux annexes)
12,Accord avec la Bulgarie sur les investissements,"Michel Crucis, Robert Montdargent","Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Bulgarie sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres et un protocole)Projet de loi  autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Bulgarie sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres et un protocole), n° 988, déposé le  9 novembre 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp"
13,Accord avec la Pologne sur les investissements,"Michel Crucis, Xavier Deniau","Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Pologne sur  l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres)Projet de loi  autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Pologne sur  l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres), n° 990, déposé le  9 novembre 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp"
14,accord avec le Nigeria sur les investissements,"Jeanny Lorgeoux, Jean-Pierre Bayle",Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federale du Nigeria sur l'encouragement et la protection reciproques des investissements (ensemble un protocole)
15,accord avec l'Ethiopie sur le transport aerien,"Jean-Marie Daillet, Yves Guena",Projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire et democratique d'Ethiopie en vue d'eviter la double imposition en matiere de transport aerien
16,accord avec l'URSS sur les investissements,"Roland Nungesser, Claude Estier",Projet de loi autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le gouvernement de l'Union des Republiques socialistes sovietiques sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres)
17,accord budgetaire avec le Maroc,"Yves Guena, Philippe Séguin","Projet de loi autorisant l'approbation d'un accord budgetaire entre le gouvernement de la republique francaise et le gouvernement du royaume du MarocProjet de loi  autorisant l'approbation d'un accord budgetaire entre le gouvernement de la republique francaise et le gouvernement du royaume du Maroc, n° 1134, déposé le  19 décembre 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp"
18,ACCORD COOPERATION DE RECHERCHE AVEC LA COTE D'IVOIRE ,Maurice Adevah-Poeuf,"Projet de loi AUTORISANT L'APPROBATION D'UN ACCORD-CADRE RELATIF A L'AIDE ET A LA COOPERATION EN MATIERE DE RECHERCHE SCIENTIFIQUE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE DE COTE D'IVOIREProjet de loi  AUTORISANT L'APPROBATION D'UN ACCORD-CADRE RELATIF A L'AIDE ET A LA COOPERATION EN MATIERE DE RECHERCHE SCIENTIFIQUE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE DE COTE D'IVOIRE, n° 794, déposé le  16 juin 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp"
19,accord culturel avec le Burkina Faso,"Xavier de Villepin, Xavier Deniau","Projet de loi autorisant l'approbation d'un accord en matiere d'enseignement, de culture, de sports, de communication audiovisuelle et de presse entre le gouvernement de la Republique francaise et le gouvernement du Burkina Faso et d'un echange de lettres rectificatifProjet de loi  autorisant l'approbation d'un accord en matiere d'enseignement, de culture, de sports, de communication audiovisuelle et de presse entre le gouvernement de la Republique francaise et le gouvernement du Burkina Faso et d'un echange de lettres rectificatif, n° 2002, déposé le  19 avril 1991<br> et renvoyé à <a href=""/commissions/59047_tab.asp"
