,Title,Name,content
26,accord domanial avec Vanuatu,,
27,accord en matiere de brevets communautaires,Guy Lengagne,Projet de loi ITE DU TITRE INITIAL : une eventuelle modification des conditions d'entree en vigueur de l'accord en matiere de brevets communautaires 
28,ACCORD ENTRE  FRANCE -INTERPOL,"Emile Didier, Charles Ehrmann","Projet de loi AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'ORGANISATION INTERNATIONALE DE POLICE CRIMINELLE (INTERPOL) RELATIF A LA PROTECTION SOCIALE DES AGENTS DE L'ORGANISATION EMPLOYES SUR LE TERRITOIRE FRANCAIS rapporteur le  30 mars 1989Projet de loi  AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'ORGANISATION INTERNATIONALE DE POLICE CRIMINELLE (INTERPOL) RELATIF A LA PROTECTION SOCIALE DES AGENTS DE L'ORGANISATION EMPLOYES SUR LE TERRITOIRE FRANCAIS, n° 741, déposé le  9 juin 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
29,accord France - Zaire sur le transport aerien,"Charles Ehrmann, Yves Guena",Projet de loi autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le Conseil executif de la Republique du Zaire en vue d'eviter la double imposition en matiere de transport aerien en trafic international  rapporteur le  28 mars 1990
30,accord France-Argentine sur les investissements,"Hubert Durand-Chastel, Pierre Brana","Projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique argentine sur l'encouragement et la protection reciproques des investissements (ensemble une declaration) rapporteur le  14 octobre 1992Projet de loi  autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique argentine sur l'encouragement et la protection reciproques des investissements (ensemble une declaration), n° 3034, déposé le  13 novembre 1992<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
31,ACCORD FRANCE-BANQUE DES ETATS DE L'AFRIQUE CENTRALE,"Emile Didier, Xavier Deniau","Projet de loi AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LA BANQUE DES ETATS DE L'AFRIQUE CENTRALE RELATIF A L'ETABLISSEMENT A PARIS D'UN BUREAU DE LA BANQUE DES ETATS DE L'AFRIQUE CENTRALE ET A SES PRIVILEGES ET IMMUNITES SUR LE TERRITOIRE FRANCAIS (ENSEMBLE UNE ANNEXE) rapporteur le  9 février 1989Projet de loi  AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LA BANQUE DES ETATS DE L'AFRIQUE CENTRALE RELATIF A L'ETABLISSEMENT A PARIS D'UN BUREAU DE LA BANQUE DES ETATS DE L'AFRIQUE CENTRALE ET A SES PRIVILEGES ET IMMUNITES SUR LE TERRITOIRE FRANCAIS (ENSEMBLE UNE ANNEXE), n° 555, déposé le  6 avril 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
32,Accord France-Bulgarie sur les centres culturels,"Noël Josephe, Michel Crucis","Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Bulgarie, sur le statut et les modalites de fonctionnement des centres culturels  rapporteur le  28 novembre 1990"
33,ACCORD FRANCE-CANADA SUR LES MISSIONS OFFICIELLES,"Charles Ehrmann, Jean-Pierre Bayle",Projet de loi AUTORISANT L'APPROBATION D'UN ACCORD SOUS FORME D'ECHANGE DE LETTRES ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DU CANADA RELATIF A L'EMPLOI DES MEMBRES DES FAMILLES DES AGENTS DES MISSIONS OFFICIELLES DE CHAQUE ETAT DANS L'AUTRE  rapporteur le  24 novembre 1988
34,accord France-CEE sur les droits a pension,,
35,accord France-Emirats arabes unis sur les investissements,"Michel Crucis, Jean-Marie Daillet","Projet de loi autorisant la ratification d'un accord entre la Republique francaise et les Emirats arabes unis sur l'encouragement et la protection reciproques des investissements (ensemble un protocole interpretatif) rapporteur le  24 juin 1992Projet de loi  autorisant la ratification d'un accord entre la Republique francaise et les Emirats arabes unis sur l'encouragement et la protection reciproques des investissements (ensemble un protocole interpretatif), n° 3033, déposé le  13 novembre 1992<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
36,accord France-Koweit sur l'encouragement des investissements,Daniel Goulet,"Projet de loi autorisant la ratification d'un accord entre la Republique francaise et l'Etat du Koweit sur l'encouragement et la protection reciproques des investissements (ensemble un protocole interpretatif)Projet de loi  autorisant la ratification d'un accord entre la Republique francaise et l'Etat du Koweit sur l'encouragement et la protection reciproques des investissements (ensemble un protocole interpretatif), n° 1466, déposé le  15 juin 1990<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
37,accord France-Laos sur les investissements,"Jacques Golliet, Michel Bérégovoy","Projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique democratique populaire Lao sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres), signe a Paris le 12 decembre 1989 rapporteur le  27 juin 1990Projet de loi  autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique democratique populaire Lao sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres), signe a Paris le 12 decembre 1989, n° 1678, déposé le  26 octobre 1990<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
38,accord France-Monaco sur la construction d'un tunnel,"Charles Ehrmann, Jacques Golliet",Projet de loi autorisant l'approbation d'un accord sous forme d'echange de lettres entre le Gouvernement de la Republique francaise et le Gouvernement de son Altesse Serenissime le Prince de Monaco relatif a la construction d'un tunnel destine a relier le reseau routier monegasque a la Route Nationale 7  rapporteur le  7 novembre 1991
39,accord France-Mongolie sur la protection des investissements,,
40,ACCORD France-ORGANISATION INTERNATIONALE DU CAFE,"Emile Didier, Maurice Adevah-Poeuf","Projet de loi AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'ORGANISATION INTERNATIONALE DU CAFE RELATIF AU BUREAU DE CETTE ORGANISATION ET A SES PRIVILEGES ET IMMUNITES SUR LE TERRITOIRE FRANCAIS (ENSEMBLE DEUX ANNEXES) rapporteur le  9 février 1989Projet de loi  AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'ORGANISATION INTERNATIONALE DU CAFE RELATIF AU BUREAU DE CETTE ORGANISATION ET A SES PRIVILEGES ET IMMUNITES SUR LE TERRITOIRE FRANCAIS (ENSEMBLE DEUX ANNEXES), n° 552, déposé le  6 avril 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
41,accord France-Suisse sur la peche,"Paul Dhaille, Jacques Golliet","Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Conseil federal suisse concernant l'exercice de la peche et la protection des milieux aquatiques dans la partie du Doubs formant frontiere entre les deux Etats (ensemble une annexe, un reglement d'application et une declaration)  rapporteur le  26 novembre 1992"
42,ACCORD FRANCE-SUISSE SUR L'ASSISTANCE EN CAS DE CATASTROPHE,Jean Laborde,Projet de loi ADOPTE PAR LE SENAT AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE CONSEIL FEDERAL SUISSE SUR L'ASSISTANCE MUTUELLE EN CAS DE CATASTROPHE OU D'ACCIDENT GRAVE 
43,accord France-Tchecoslovaquie sur les investissements,"Michèle Alliot-Marie, Bernard Guyomard",Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federative tcheque et slovaque sur l'encouragement et la protection reciproques des investissements  n° 0515 sur Vote sur l'ensemble du texte au cours de la  séance  du lundi 3 juin 1991 rapporteur le  25 avril 1991
44,ACCORD FRANCE-UNION INTERNATIONALE DES TELECOMMUNICATIONS,"Charles Ehrmann, André Bettencourt","Projet de loi AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'UNION INTERNATIONALE DES TELECOMMUNICATIONS CONCERNANT LA TENUE, L'ORGANISATION ET LE FINANCEMENT DE LA CONFERENCE DE PLENIPOTENTIAIRES DE L'UNION INTERNATIONALE DES TELECOMMUNICATIONS  rapporteur le  19 avril 1989"
45,accord France-URSS sur la formation ,"André Bellon, Claude Estier",Projet de loi autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le gouvernement de l'Union des Republiques socialistes sovietiques relatif a la cooperation pour la formation des hommes dans le domaine economique  rapporteur le  16 mai 1990
46,accord France-Yemen,,
47,accord international de l'energie,"Michel D'Aillieres, Jean-Marie Daillet","Projet de loi autorisant l'adhesion a l'accord relatif a un programme international de l'energie (tel que amende au 19 mai 1980) rapporteur le  1<sup>er</sup> avril 1992Projet de loi  autorisant l'adhesion a l'accord relatif a un programme international de l'energie (tel que amende au 19 mai 1980), n° 2670, déposé le  30 avril 1992<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
48,accord international sur le caoutchouc naturel,"Xavier de Villepin, Henry Jean-Baptiste","Projet de loi autorisant l'approbation de l'accord international de 1987 sur le caoutchouc naturel rapporteur le  11 avril 1990Projet de loi  autorisant l'approbation de l'accord international de 1987 sur le caoutchouc naturel, n° 1327, déposé le  3 mai 1990<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
49,accord rectifiant la frontiere franco-luxembourgeoise,"Jean-Pierre Bayle, Jean-Yves Le Déaut","Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement du Grand-Duche de Luxembourg portant rectification de la frontiere franco-luxembourgeoise rapporteur le  29 novembre 1989Projet de loi  autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement du Grand-Duche de Luxembourg portant rectification de la frontiere franco-luxembourgeoise, n° 1117, déposé le  18 décembre 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
50,accord routier France-Espagne,"André Labarrère, Franz Duboscq",Projet de loi autorisant la ratification de l'accord entre la Republique francaise et le Royaume d'Espagne en vue de la construction d'un tunnel routier au col du Somport  rapporteur le  27 novembre 1991
51,ACCORD SUR LA RADIODIFFUSION EN ASIE ET DANS LE PACIFIQUE,Noël Josephe,"Projet de loi AUTORISANT L'ADHESION DE LA FRANCE A UN ACCORD PORTANT CREATION DE L'INSTITUT DE DEVELOPPEMENT DE LA RADIODIFFUSION POUR L'ASIE ET LE PACIFIQUE</font></b></p><hr>Projet de loi  AUTORISANT L'ADHESION DE LA FRANCE A UN ACCORD PORTANT CREATION DE L'INSTITUT DE DEVELOPPEMENT DE LA RADIODIFFUSION POUR L'ASIE ET LE PACIFIQUE, n° 120, déposé le  7 juillet 1988<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
52,ACCORD SUR LE VERSEMENT A LA CEE D'AVANCES POUR 1988,"Daniel Goulet, Josy Moinet",Projet de loi AUTORISANT L'APPROBATION D'UN ACCORD INTERVENU AU SEIN DU CONSEIL DES COMMUNAUTES EUROPEENNES ENTRE LES REPRESENTANTS DES GOUVERNEMENTS DES ETATS MEMBRES RELATIF AU VERSEMENT A LA COMMUNAUTE D'AVANCES NON REMBOURSABLES POUR 1988  rapporteur le  14 décembre 1988
53,accordant le RMI aux moins de 25 ans,François D'HARCOURT,
54,ACQUISITION DE LA NATIONALITE FRANCAISE,Alain MAYOUD,
55,ACQUISITION DE LA NATIONALITE FRANCAISE,Alain MAYOUD,
56,acquisition de la nationalite francaise,André THIEN AH KOON,"  tendant a faciliter l'acquisition de la nationalite francaise par des residents etrangers de longue date, n° 2721, déposée le  20 mai 1992"
57,acquisition de logement par les locataires d'HLM,Philippe DE VILLIERS,
58,ACQUISITION DE LOTISSEMENTS PAR LES MAIRES ,Henri DE GASTINES,"  TENDANT A COMPLETER L'ARTICLE 175 DU CODE PENAL AFIN DE PERMETTRE AUX MAIRES ET ADJOINTS DES COMMUNES DE MOINS DE 2000 HABITANTS DE SE RENDRE ACQUEREURS D'UNE PARCELLE D'UN LOTISSEMENT COMMUNAL EN VUE DE FAIRE CONSTRUIRE LEUR HABITATION PERSONNELLE, n° 231, déposée le  5 octobre 1988"
59,action en justice des associations d'anciens combattants,Jean-Jacques JÉGOU,"  tendant a permettre aux associations d'anciens combattants d'ester en justice, n° 1058, déposée le  6 décembre 1989"
60,action en justice des associations d'anciens combattants,"Yves GUENA, Lucien Neuwirth, Pierre-Jean Daviaud", rapporteur le  9 avril 1991 
61,action populaire en cas de crime ou delit d'un elu,Philippe DE VILLIERS,"  tendant a permettre l'action populaire et celle des collectivites en cas de crime ou delit d'un elu, et a preciser la mission du ministere public, n° 2168, déposée le  27 juin 1991"
62,ACTIVITE DU TRAITEMENT DE L'IMPAYE,Jean-Pierre PHILIBERT,"  TENDANT A REGLEMENTER LES CONDITIONS D'EXERCICE DE L'ACTIVITE DU TRAITEMENT DE L'IMPAYE, n° 672, déposée le  10 mai 1989"
63,ACTIVITE MINIMUM D'INSERTION,Roselyne BACHELOT-NARQUIN,"  RELATIVE A L'ACTIVITE MINIMUM D'INSERTION, n° 271, déposée le  5 octobre 1988"
64,ACTIVITES AMBULANTES,Daniel LE MEUR,"  RELATIVE A L'EXERCICE DES ACTIVITES AMBULANTES ET AUX PERSONNES CIRCULANT EN FRANCE SANS DOMICILE NI RESIDENCE FIXE, n° 74, déposée le  6 juillet 1988"
65,activites de jour et accueil des handicapes,Léonce DEPREZ,"  relative aux structures d'activite de jour et d'accueil des handicapes, n° 1152, déposée le  20 décembre 1989"
66,activites des comites d'entreprise,Marc LAURIOL,"  visant a modifier les dispositions legales relatives aux activites sociales et culturelles des comites d'entreprise, n° 293, déposée le  18 avril 1991"
67,activites des comites d'entreprises,Marc LAURIOL,"  visant a modifier les dispositions legales relatives aux activites sociales et culturelles des comites d'entreprise, n° 79, déposée le  2 décembre 1992"
68,activites physiques et sportives,Alain Néri, 
69,activites sportives,"Thierry Mandon, François Lesein","Projet de loi modifiant la loi no 84-610 du 16 juillet 1984 relative a l'organisation et a la promotion des activites physiques et sportives et portant diverses dispositions relatives a ces activites|Texte adopté n°&nbsp;697 - Projet de loi  rapporteur le  5 mai 1992 rapporteur le  29 juin 1992 et <a href=""/14/tribun/fiches_id/2051.asp"" target=""_blank"">Thierry Mandon</a> rapporteur le  29 juin 1992 rapporteur, sous le n° 2848 à l'Assemblée nationale et par M. <a href=""http://www.senat.fr/senateur/lesein_francois88005h.html"" target=""_blank"">François Lesein</a> rapporteur, sous le n° 460 au Sénat"
70,adaptation de la legislation a Mayotte,,"Projet de loi d'habilitation relatif a l'adaptation de la legislation applicable dans la collectivite territoriale de MayotteProjet de loi  d'habilitation relatif a l'adaptation de la legislation applicable dans la collectivite territoriale de Mayotte, n° 2351, déposé le  15 novembre 1991<br> et renvoyé à <a href=""/commissions/59051_tab.asp"
71,adhesion au traite sur la non proliferation des armes nucleaires,Michel Crépeau,"Projet de loi autorisant l'adhesion au traite sur la non proliferation des armes nucleairesProjet de loi  autorisant l'adhesion au traite sur la non proliferation des armes nucleaires, n° 2666, déposé le  30 avril 1992<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
72,adhesion de l'Espagne aux accords de Schengen,,
73,adhesion de l'Espagne et du Portugal a une convention judiciaire,Michel Crucis,"Projet de loi ITE DU TITRE INITIAL : a l'adhesion de la Republique hellenique rapporteur le  16 mai 1990Projet de loi ITE DU TITRE INITIAL : a l'adhesion de la Republique hellenique, n° 1468, déposé le  15 juin 1990<br> et renvoyé à <a href=""/commissions/59047_tab.asp"
74,adhesion de l'Italie a l'accord de Schengen,,"Projet de loi autorisant l'approbation de l'accord d'adhesion de la Republique italienne a la convention d'application de l'accord de Schengen du 14 juin 1985 entre les gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes, signee a Schengen le 19 juin 1990"
75,adhesion du Portugal aux accords de Schengen,,
76,ADHESIONS AUX ASSOCIATIONS PATRONALES PRIVEES,Robert PAGÈS,"  SUR L'ADHESION DES MEMBRES DES DIRECTIONS DES ENTREPRISES PUBLIQUES ET NATIONALISEES A DES ASSOCIATIONS PATRONALES PRIVEES, n° 12, déposée le  3 octobre 1988"
77,ADMINISTRATION DE LA NOUVELLE-CALEDONIE,"Raymond Forni, Jean-Marie Girault",Projet de loi RELATIF A L'ADMINISTRATION DE LA NOUVELLE-CALEDONIE  rapporteur le  30 juin 1988
78,administration penitentiaire en Nouvelle-Caledonie,"François Colcombet, Germain Authié",Projet de loi relatif a l'integration des personnels de l'administration penitentiaire de la Nouvelle-Caledonie dans les corps des services exterieurs de l'administration penitentiaire de l'Etat  rapporteur le  28 novembre 1989
79,administration territoriale de la Republique,"Christian Pierret, Paul Graziani","Projet de loi d'orientation relatif a l'administration territoriale de la Republique|Texte adopté n°&nbsp;619 - Projet de loi d'orientation relatif a l'administration territoriale de la Republique|Texte adopté n°&nbsp;617 - Projet de loi d'orientation relatif a l'administration territoriale de la Republique|Texte adopté n°&nbsp;545 - Projet de loi d'orientation relatif a l'administration territoriale de la Republique  n° 0452 sur Vote sur l'ensemble du texte au cours de la  séance  du jeudi 4 avril 1991 rapporteur le  17 avril 1991Projet de loi  d'orientation relatif a l'administration territoriale de la Republique, n° 2204, déposé le  4 juillet 1991<br> et renvoyé à <a href=""/commissions/59030_tab.asp  n° 0580 sur Vote sur l'ensemble du texte au cours de la  séance  du samedi 30 novembre 1991 rapporteur le  20 janvier 1992 et <a href=""/11/tribun/fiches_id/2412.asp"" target=""_blank"">Christian Pierret</a> rapporteur le  17 janvier 1992 rapporteur, sous le n° 2545 à l'Assemblée nationale et par M. <a href=""http://www.senat.fr/senateur/graziani_paul59537v.html"" target=""_blank"">Paul Graziani</a> rapporteur, sous le n° 242 au SénatProjet de loi  d'orientation relatif a l'administration territoriale de la Republique, n° 2541, déposé le  14 janvier 1992<br> et renvoyé à <a href=""/commissions/59030_tab.asp  n° 0620 sur Vote sur l'ensemble du texte au cours de la  séance  du mercredi 22 janvier 1992Projet de loi  d'orientation relatif a l'administration territoriale de la Republique, n° 2558, déposé le  23 janvier 1992<br> et renvoyé à <a href=""/commissions/59030_tab.asp "
