,Title,Name,content
0,ABATTEMENT DE LA TAXE D'HABITATION,Jean Louis MASSON,"  TENDANT A COMPLETER L'ARTICLE 1411 DU CODE GENERAL DES IMPOTS AFIN DE FAIRE BENEFICIER D'UN ABATTEMENT SUR LA TAXE D'HABITATION LES PERSONNES AGEES DE PLUS DE SOIXANTE-CINQ ANS ET AYANT ELEVE TROIS ENFANTS ET PLUS, n° 97, déposée le  6 juillet 1988"
1,abrogation de dispositions du code de la nationalite,Jacques HABERT,
2,ABROGEANT LA LOI SUR L'INVESTISSEMENT LOCATIF,Jean-Claude GAYSSOT,"  TENDANT A ABROGER LA LOI NO 86-1290 DU 23 DECEMBRE 1986 TENDANT A FAVORISER L'INVESTISSEMENT LOCATIF, L'ACCESSION A LA PROPRIETE DE LOGEMENTS SOCIAUX ET LE DEVELOPPEMENT DE L'OFFRE FONCIERE, n° 316, déposée le  19 octobre 1988"
3,ACCES A LA FONCTION PUBLIQUE,Pierre MAUGER,
4,,Jean KIFFER,
5,acces au fichier des services de l'Etat,François ASENSI,"  tendant a instituer pour toute personne un droit d'acces direct a son fichier etabli par les services de l'Etat, n° 1817, déposée le  12 décembre 1990"
6,acces aux soins de sante,Adrien ZELLER,"  tendant a faciliter l'acces de tous aux soins de sante, n° 939, déposée le  12 octobre 1989"
7,acces du territoire francais aux anciens nazis,Jean-Pierre BRARD,"  tendant a interdire l'acces du territoire francais aux anciens membres des organisations nazies declarees criminelles par le Tribunal de Nuremberg, n° 1267, déposée le  12 avril 1990"
8,accessibilite des locaux aux personnes handicapees,"Robert Laucournet, Charles Metzinger","Projet de loi portant diverses mesures destinees a favoriser l'accessibilite aux personnes handicapees des locaux d'habitation, des lieux de travail et des installations recevant du public rapporteur le  24 avril 1991Projet de loi  portant diverses mesures destinees a favoriser l'accessibilite aux personnes handicapees des locaux d'habitation, des lieux de travail et des installations recevant du public, n° 2063, déposé le  24 mai 1991<br> et renvoyé à <a href=""/commissions/59045_tab.asp "
9,ACCESSION A LA PROPRIETE DES RECEVEURS DES P ET T,Jean-Luc BÉCART,"  TENDANT A PERMETTRE AUX RECEVEURS, RECEVEURS RURAUX ET CHEFS DE CENTRE DES POSTES ET TELECOMMUNICATIONS D'ACCEDER A LA PROPRIETE D'UNE RESIDENCE PRINCIPALE ET A EXCLURE LE LOGEMENT DE FONCTION DES BAREMES D'IMPOSITION, n° 40, déposée le  20 octobre 1988"
10,accidents de la circulation,Patrick BALKANY,
11,accord anti-pollution de l'Atlantique Nord-Est,"René André, Bernard Guyomard",Projet de loi autorisant l'approbation d'un accord de cooperation pour la protection des cotes et des eaux de l'Atlantique du Nord-Est contre la pollution (ensemble deux annexes)  rapporteur le  12 novembre 1992
12,Accord avec la Bulgarie sur les investissements,"Michel Crucis, Robert Montdargent","Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Bulgarie sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres et un protocole) rapporteur le  12 octobre 1989Projet de loi  autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Bulgarie sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres et un protocole), n° 988, déposé le  9 novembre 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
13,Accord avec la Pologne sur les investissements,"Michel Crucis, Xavier Deniau","Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Pologne sur  l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres) rapporteur le  12 octobre 1989Projet de loi  autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Pologne sur  l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres), n° 990, déposé le  9 novembre 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
14,accord avec le Nigeria sur les investissements,"Jeanny Lorgeoux, Jean-Pierre Bayle",Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federale du Nigeria sur l'encouragement et la protection reciproques des investissements (ensemble un protocole)  rapporteur le  25 avril 1991
15,accord avec l'Ethiopie sur le transport aerien,"Jean-Marie Daillet, Yves Guena",Projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire et democratique d'Ethiopie en vue d'eviter la double imposition en matiere de transport aerien  rapporteur le  7 mai 1991
16,accord avec l'URSS sur les investissements,"Roland Nungesser, Claude Estier",Projet de loi autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le gouvernement de l'Union des Republiques socialistes sovietiques sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres)  rapporteur le  29 novembre 1989
17,accord budgetaire avec le Maroc,"Yves Guena, Philippe Séguin","Projet de loi autorisant l'approbation d'un accord budgetaire entre le gouvernement de la republique francaise et le gouvernement du royaume du Maroc rapporteur le  6 décembre 1989Projet de loi  autorisant l'approbation d'un accord budgetaire entre le gouvernement de la republique francaise et le gouvernement du royaume du Maroc, n° 1134, déposé le  19 décembre 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
18,ACCORD COOPERATION DE RECHERCHE AVEC LA COTE D'IVOIRE ,Maurice Adevah-Poeuf,"Projet de loi AUTORISANT L'APPROBATION D'UN ACCORD-CADRE RELATIF A L'AIDE ET A LA COOPERATION EN MATIERE DE RECHERCHE SCIENTIFIQUE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE DE COTE D'IVOIREProjet de loi  AUTORISANT L'APPROBATION D'UN ACCORD-CADRE RELATIF A L'AIDE ET A LA COOPERATION EN MATIERE DE RECHERCHE SCIENTIFIQUE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE DE COTE D'IVOIRE, n° 794, déposé le  16 juin 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
19,accord culturel avec le Burkina Faso,"Xavier de Villepin, Xavier Deniau","Projet de loi autorisant l'approbation d'un accord en matiere d'enseignement, de culture, de sports, de communication audiovisuelle et de presse entre le gouvernement de la Republique francaise et le gouvernement du Burkina Faso et d'un echange de lettres rectificatif rapporteur le  13 mars 1991Projet de loi  autorisant l'approbation d'un accord en matiere d'enseignement, de culture, de sports, de communication audiovisuelle et de presse entre le gouvernement de la Republique francaise et le gouvernement du Burkina Faso et d'un echange de lettres rectificatif, n° 2002, déposé le  19 avril 1991<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
20,accord culturel France-Roumanie,"Bernard Guyomard, Xavier Deniau","Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Roumanie sur le statut et les modalites de fonctionnement des centres culturels rapporteur le  26 septembre 1991Projet de loi  autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Roumanie sur le statut et les modalites de fonctionnement des centres culturels, n° 2473, déposé le  13 décembre 1991<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
21,accord de cooperation avec la Republique populaire Lao,"Xavier Deniau, Michel Crucis","Projet de loi autorisant l'approbation d'un accord de cooperation scientifique, technique et culturelle entre le gouvernement de la Republique francaise et le gouvernement de la Republique populaire Lao  rapporteur le  16 mai 1990"
22,ACCORD DE COOPERATION AVEC LE BANGLADESH,Jean-Marie Daillet,"Projet de loi ADOPTE PAR LE SENAT AUTORISANT L'APPROBATION D'UN ACCORD SUR LA COOPERATION CULTURELLE, SCIENTIFIQUE ET TECHNIQUE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE POPULAIRE DU BANGLADESH "
23,Accord de cooperation technique France-Burkina Faso,"Jean-Pierre Bayle, Jean-Yves Gateaud","Projet de loi autorisant l'approbation d'un accord de cooperation technique en matiere de personnel entre le Gouvernement de la Republique francaise et le Gouvernement du Burkina Faso rapporteur le  12 octobre 1989Projet de loi  autorisant l'approbation d'un accord de cooperation technique en matiere de personnel entre le Gouvernement de la Republique francaise et le Gouvernement du Burkina Faso, n° 992, déposé le  9 novembre 1989<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
24,accord de protection sociale du personnel de l'OCDE,"Michel Crucis, Pierre Brana","Projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et l'organisation de cooperation et de developpement economiques relatif a la protection sociale des membres du personnel employes par ladite organisation sur le territoire francais, signe a Paris le 24 septembre 1991 rapporteur le  1<sup>er</sup> avril 1992Projet de loi  autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et l'organisation de cooperation et de developpement economiques relatif a la protection sociale des membres du personnel employes par ladite organisation sur le territoire francais, signe a Paris le 24 septembre 1991, n° 2671, déposé le  30 avril 1992<br> et renvoyé à <a href=""/commissions/59047_tab.asp "
25,accord de Schengen,"François Loncle, Xavier de Villepin","Projet de loi autorisant l'approbation de la convention d'application de l'accord de Schengen du 14 juin 1985 entre les gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes  rapporteur le  16 mai 1991"
