,index,auteur,date_publication,titre
0,15,Marine Brenier,18/07/2017,tendant à la création d'une commission d'enquête relative à l'attentat terroriste du 14 juillet 2016 à Nice
1,20,,17/07/2017,tendant à prévoir dans chaque assemblée parlementaire une séance mensuelle réservée à la transposition des directives et à l'autorisation de ratification des conventions internationales
2,21,,17/07/2017,", adoptée par le Sénat, relative à la protection des personnes victimes de diffamation"
3,22,,17/07/2017,"adoptée par le Sénat, tendant à étendre le bénéfice des dispositions des troisième et quatrième alinéas de larticle L. 178 et de larticle L. 179 du code des pensions militaires dinvalidité et des victimes de la guerre aux prisonniers de guerre déportés au camp de Rawa-Ruska"
4,23,,17/07/2017,", adoptée par le Sénat, relative à la police de la conservation des parcs et jardins départementaux"
5,24,,17/07/2017,", adoptée par le Sénat, tendant à diminuer les risques sanitaires liés à l'exposition à la musique amplifiée"
6,25,,17/07/2017,", adoptée par le Sénat, tendant à autoriser les élus des communes comptant 3 500 habitants au plus à conclure des baux ruraux avec leur collectivité"
7,26,,17/07/2017,", adoptée par le Sénat, relative aux conditions de détention dans les établissements pénitentiaires et au Contrôle général des prisons"
8,27,,24/07/2017,", adoptée par le Sénat, tendant à actualiser plusieurs dispositions du code électoral"
9,28,,24/07/2017,", adoptée par le Sénat, complétant l'article 6 bis de l'ordonnance n° 58-1100 du 17 novembre 1958 en vue de permettre un contrôle du Parlement sur la transposition des directives communautaires"
10,29,,24/07/2017,", adoptée par le Sénat, tendant à créer une journée nationale pour l'abolition universelle de la peine de mort"
11,30,,17/07/2017,", adoptée par le Sénat, visant à améliorer la transparence et l'équité du régime d'assurance des catastrophes naturelles"
12,31,,24/07/2017,", adoptée par le Sénat, complétant la loi n° 94-665 du 4 août 1994 relative à l'emploi de la langue française"
13,32,,21/07/2017,", adoptée par le Sénat, visant à prolonger la déductibilité de la pension alimentaire versée par un parent séparé ou divorcé pour l'entretien de son enfant lorsque celui-ci devient majeur tout en restant rattaché au foyer fiscal de son autre parent"
14,33,,21/07/2017,", adoptée par le Sénat, relative au partage de la réversion des pensions militaires d'invalidité"
15,34,,24/07/2017,", adoptée par le Sénat, visant à prolonger le congé pour événement familial en cas de décès d'un conjoint ou d'un enfant"
16,35,,24/07/2017,", adoptée par le Sénat, tendant à prévoir l'approbation par les lois de financement de la sécurité sociale des mesures de réduction et d'exonération de cotisations et de contributions de sécurité sociale adoptées en cours d'exercice"
17,36,,24/07/2017,", adoptée par le Sénat, tendant à allonger le délai de prescription de l'action publique pour les diffamations, injures ou provocations commises par l'intermédiaire d'Internet"
18,37,,24/07/2017,", adoptée par le Sénat, relative à l'unification du contentieux de l'asile"
19,38,,24/07/2017,", adoptée par le Sénat, tendant à interdire ou à réglementer le cumul des fonctions et des rémunérations de dirigeant d'une entreprise du secteur public et d'une entreprise du secteur privé"
20,39,,24/07/2017,", adoptée par le Sénat, visant à mieux garantir le droit à la vie privée à l'heure du numérique"
21,40,,24/07/2017,", adoptée par le Sénat, tendant à faciliter l'accès aux stages des étudiants et élèves travailleurs sociaux"
22,41,,24/07/2017,", adoptée par le Sénat, visant à clarifier le champ des poursuites de la prise illégale d'intérêt"
23,42,,24/07/2017,", adoptée par le Sénat, relative à l'atténuation de responsabilité pénale applicable aux personnes atteintes d'un trouble mental ayant altéré leur discernement au moment des faits"
24,43,,25/07/2017,", adoptée par le Sénat, relative à l'installation de panneaux d'entrée et de sortie d'agglomération en langue régionale"
25,44,,24/07/2017,", adoptée par le Sénat, visant à renforcer les droits des consommateurs en matière de démarchage téléphonique"
26,45,,24/07/2017,", adoptée par le Sénat, tendant à assurer une gestion effective du risque de submersion marine"
27,46,,24/07/2017,", adoptée par le Sénat, visant à punir d'une peine d'amende tout premier usage illicite constaté de l'une des substances ou plantes classées comme stupéfiants"
28,47,,24/07/2017,", adoptée par le Sénat, garantissant le droit au repos dominical "
29,48,,17/07/2017,", adoptée par le Sénat, relative au suivi des conséquences environnementales des essais nucléaires français en Polynésie française"
30,49,,17/07/2017,", adoptée par le Sénat, relative à l'égalité salariale entre les hommes et les femmes"
31,50,,17/07/2017,", adoptée par le Sénat, tendant à élargir la contribution de solidarité pour l'autonomie aux travailleurs non salariés et aux retraités et à compenser aux départements la moitié de leurs dépenses d'allocation personnalisée d'autonomie"
32,51,,25/07/2017,", adoptée par le Sénat, visant à créer des zones de protection renforcée contre le loup"
33,52,,24/07/2017,", adoptée par le Sénat, visant à autoriser le cumul de l'allocation de solidarité aux personnes âgées avec des revenus professionnels"
34,53,,24/07/2017,", adoptée par le Sénat, tendant à modifier l'article 689-11 du code de procédure pénale relatif à la compétence territoriale du juge français concernant les infractions visées par le statut de la Cour pénale internationale"
35,54,,24/07/2017,", adoptée par le Sénat, portant amnistie des faits commis à l'occasion de mouvements sociaux et d'activités syndicales et revendicatives"
36,55,,24/07/2017,", adoptée par le Sénat, complétant la loi n° 2013-403 du 17 mai 2013 relative à l'élection des conseillers départementaux, des conseillers municipaux et des conseillers communautaires, et modifiant le calendrier électoral"
37,56,,24/07/2017,", adoptée par le Sénat, tendant à joindre les avis rendus par le conseil national d'évaluation des normes aux projets de loi relatifs aux collectivités territoriales et à leurs groupements"
